Source,Target,Type,Id,Label,Weight
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",И. Н. Зайцев,Directed,152,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Ю. А. Зайцев,Directed,153,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Н. И. Иванов,Directed,154,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",И. К. Иванов,Directed,155,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",К. Г. Иванов-Соколов,Directed,156,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Н. К. Константинов,Directed,157,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",К. С. Кувакин,Directed,158,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Ф. Д. Кузнецов,Directed,159,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",В. П. Курманаевский,Directed,160,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",С. Е. Леднев-Щукин,Directed,161,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",А. К. Манков,Directed,162,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",А. А. Монин,Directed,163,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",А. О. Никулин,Directed,164,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Б. С. Пастухов,Directed,165,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",П. И. Петровичев,Directed,166,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",М. Д. Попов,Directed,167,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Д. Г. Соболев,Directed,168,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",В. П. Соколов,Directed,169,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Д. А. Трубников,Directed,170,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Л. В. Туржанский,Directed,171,,1
"АССАМБЛЕЯ  (Группа художников «Ассамблея», позже — «Группа московских художников»)",Е. Э. Тьери,Directed,172,,1
Ассоциация работников изобразительного искусства,А. Н. Волков,Directed,173,,1
Ассоциация работников изобразительного искусства,В. Н. Гуляев,Directed,174,,1
Ассоциация работников изобразительного искусства,И. И. Икрамов,Directed,175,,1
Ассоциация работников изобразительного искусства,С. А. Мальт,Directed,176,,1
Ассоциация работников изобразительного искусства,В. Л. Рождественский,Directed,177,,1
Ассоциация работников изобразительного искусства,П. О. Рябчиков,Directed,178,,1
Ассоциация работников изобразительного искусства,М. И. Курзин,Directed,179,,1
Ассоциация работников изобразительного искусства,О. К. Татевосян,Directed,180,,1
Ассоциация революционного искусства Украины,Э. А. Блох,Directed,181,,1
Ассоциация революционного искусства Украины,А. К. Богомазов,Directed,182,,1
Ассоциация революционного искусства Украины,Т. Л. Бойчук,Directed,183,,1
Ассоциация революционного искусства Украины,Н. Г. Бурачек,Directed,184,,1
Ассоциация революционного искусства Украины,П. К. Голубятников,Directed,185,,1
Ассоциация революционного искусства Украины,Ж. К. Диндо,Directed,186,,1
Ассоциация революционного искусства Украины,А. М. Довгаль,Directed,187,,1
Ассоциация революционного искусства Украины,К.Н. Елева,Directed,188,,1
Ассоциация революционного искусства Украины,В. Д. Ермилов,Directed,189,,1
Ассоциация революционного искусства Украины,М. И. Жук,Directed,190,,1
Ассоциация революционного искусства Украины,В. И. Касиян,Directed,191,,2
Ассоциация революционного искусства Украины,С. Я. Кишиневский,Directed,192,,1
Ассоциация революционного искусства Украины,Б. М. Кратко,Directed,193,,1
Ассоциация революционного искусства Украины,В. Г. Меллер,Directed,194,,1
Ассоциация революционного искусства Украины,О. Т. Пав­ленко,Directed,195,,1
Ассоциация революционного искусства Украины,И. И. Падалка,Directed,196,,2
Ассоциация революционного искусства Украины,В. Н. Пальмов,Directed,197,,1
Ассоциация революционного искусства Украины,С. М. Прохоров,Directed,198,,1
Ассоциация революционного искусства Украины,Н. А. Рокицкий,Directed,199,,3
Ассоциация революционного искусства Украины,Е. Б. Сахновская,Directed,200,,2
Ассоциация революционного искусства Украины,А. И. Таран,Directed,201,,1
Ассоциация революционного искусства Украины,Г. С. Теннер,Directed,202,,1
Ассоциация революционного искусства Украины,А. В. Хвостенко-Хвостов,Directed,203,,1
Ассоциация революционного искусства Украины,Г. Е. Хижняк,Directed,204,,1
Ассоциация революционного искусства Украины,А. М. Черкасский,Directed,205,,1
Ассоциация революционного искусства Украины,М. А. Шаро­нов,Directed,206,,1
Ассоциация революционного искусства Украины,Е. А. Бородина,Directed,207,,1
Ассоциация революционного искусства Украины,К. В. Гвоздик,Directed,208,,1
Ассоциация революционного искусства Украины,И. Я. Друченко,Directed,209,,1
Ассоциация революционного искусства Украины,С. А. Налепинская-Бойчук,Directed,210,,1
Ассоциация революционного искусства Украины,В. Ф. Седляр,Directed,214,,1
